video protocol: MPEG2
revision pre-S
AVD CRC 86b985f8 a77d2ef8 813f5d; 0 0 0
AVD CRC 26895148 a06dfdc0 c7f76ea6; 0 0 0
AVD CRC a08f53cf 96af72fb 1883d403; 0 0 0
AVD CRC e2f6ed01 7b07ab52 179fc742; 0 0 0
AVD CRC a37c560f 11348abe 66ac403f; 0 0 0
AVD CRC 7ebb4ae7 f7358aeb 87079b6c; 0 0 0
AVD CRC d232d97e 5028ab85 7f477e65; 0 0 0
AVD CRC fcb8ca6f 426be990 939a9a4e; 0 0 0
AVD CRC a2a1028c 54d15f33 63f4dd5d; 0 0 0
AVD CRC 91381c3d c60d3f88 e0bc5831; 0 0 0
AVD CRC 30a26925 ab03302 ecc21522; 0 0 0
AVD CRC cd8e8823 ca6a4eea d0cf3523; 0 0 0
AVD CRC f2c16cf6 98070c87 ea768ae7; 0 0 0
AVD CRC 88aaa015 d74637c6 8c3dc7e6; 0 0 0
AVD CRC d8c3c14d af9a350a 56650879; 0 0 0
AVD CRC 7bc9c5a7 2bb0d933 d3ab14a; 0 0 0
AVD CRC e8555263 e5547a7e e7c890b; 0 0 0
AVD CRC a44e2a9f eb3a715e de7281ef; 0 0 0
AVD CRC 8cda7c2 5e80f48e 92667eff; 0 0 0
AVD CRC 5f750ec ddb84998 5ab253e; 0 0 0
AVD CRC 3ca7e384 bc41ca8b d009e007; 0 0 0
AVD CRC 6bb6546d 3a98ef6a 94306158; 0 0 0
AVD CRC c884b4fc 4a1b1531 65e3ad3b; 0 0 0
AVD CRC d44264ac 1b4a300f f4a1b11f; 0 0 0
AVD CRC ab8abcb dacb4d30 b9755c53; 0 0 0
AVD CRC 33366138 78edd7ad 74bc661a; 0 0 0
AVD CRC 5e33edfe 352ddd06 d988b76a; 0 0 0
AVD CRC 242a053d 1d3bf67d 91491118; 0 0 0
AVD CRC 3db775db 4d573c92 dfcb7153; 0 0 0
AVD CRC e1157c68 f933f78b a509edaf; 0 0 0
AVD CRC 4216837 dbb85441 256e3cd1; 0 0 0
AVD CRC 2a437f2f 179bfc3b 2b036ba1; 0 0 0
AVD CRC cd746c49 2e50d03c 1cb18ade; 0 0 0
AVD CRC d09c5bac e62998ec 3efc9588; 0 0 0
AVD CRC e439aafd 3f3f3492 ce397a70; 0 0 0
AVD CRC 23c3ea35 3eeb3bfb f628b1e8; 0 0 0
AVD CRC a06c6aba 92a60e06 27ddb961; 0 0 0
AVD CRC 4e15d14e 4ff2b9f4 95eea72e; 0 0 0
AVD CRC 8e55434f 287a4e8e 1f1b2465; 0 0 0
AVD CRC 70354240 d89ec2e3 dc53c1c; 0 0 0
AVD CRC dc9f23f7 8bff9aaa 173c03af; 0 0 0
AVD CRC c1f8c2b2 d6f8a38f 15e19528; 0 0 0
AVD CRC b18aadad 4e0e9918 5dad42dd; 0 0 0
AVD CRC 1207ac49 b433693f b72832f8; 0 0 0
AVD CRC f74a165f c79e040 b00fa35d; 0 0 0
AVD CRC 2481760b 51ca9f41 615f99f5; 0 0 0
AVD CRC c105db67 3c87d749 fb2df8d3; 0 0 0
AVD CRC b77af788 686ae9d2 10187b92; 0 0 0
AVD CRC d9647eab 519166d6 5be1bfdc; 0 0 0
AVD CRC 8d3ac16c 8e6c73e c4b6bf20; 0 0 0
