video protocol: MPEG2
revision pre-S
AVD CRC fe3d3d4 4030530 3fa443b; 0 0 0
AVD CRC fdcb3b2 4021266 3fa2fec; 0 0 0
AVD CRC fdf75a0 4058d0e 3fa734a; 0 0 0
AVD CRC fdef9a7 408bfcd 3fa7708; 0 0 0
AVD CRC fdf532c 408c81b 3fa382a; 0 0 0
AVD CRC fdc82e2 40c2529 3f9f15f; 0 0 0
AVD CRC fde4dbc 40d76bd 3fb0bb9; 0 0 0
AVD CRC fe6b218 40c0c03 3fb48c0; 0 0 0
AVD CRC fe2b453 4099ec4 3ff0154; 0 0 0
AVD CRC fe1f48b 402d18c 3fd7b08; 0 0 0
AVD CRC fe1dc31 406c952 3faad3f; 0 0 0
AVD CRC fe13eb8 406e005 3faf2df; 0 0 0
AVD CRC fe14fe7 403aed6 3fa919a; 0 0 0
AVD CRC fe2f61f 3ffc082 3fa7aa2; 0 0 0
AVD CRC fe49cee 3fbf86f 3fb2405; 0 0 0
AVD CRC fe296f2 3fb25c5 3fba09d; 0 0 0
AVD CRC fe5e190 3fcc0b3 3fb72e0; 0 0 0
AVD CRC fe4b576 404e265 3fb5702; 0 0 0
AVD CRC fe0de49 408dddf 3fb0a70; 0 0 0
AVD CRC ff361c8 409d4c2 3fb8690; 0 0 0
AVD CRC ff6decd 40961eb 3fb331f; 0 0 0
AVD CRC ff559e2 40d4d37 3fb50ff; 0 0 0
AVD CRC 1002c459 4066507 3fb7bba; 0 0 0
AVD CRC 1003ec4e 402308c 3f792d9; 0 0 0
AVD CRC fea08b6 3fc5eea 3efde50; 0 0 0
AVD CRC feb4266 4016e5a 3ea5ca8; 0 0 0
AVD CRC fe6abbe 400937e 3f2e5f7; 0 0 0
AVD CRC fe5a0af 3fe39cf 3f93136; 0 0 0
AVD CRC fe76d81 3fcbf25 3f95401; 0 0 0
AVD CRC fe8f7bd 3fdfc0d 3f99709; 0 0 0
AVD CRC fe94c13 3fe8a43 3f9778c; 0 0 0
AVD CRC feb4204 3fe664f 3f9bdb8; 0 0 0
AVD CRC feb436e 3fe5096 3f9ff83; 0 0 0
AVD CRC feb8304 3fe7bf7 3fa02a5; 0 0 0
AVD CRC fecba4c 3fcfa96 3f991aa; 0 0 0
AVD CRC fec23cb 3fcd0fb 3f972cf; 0 0 0
AVD CRC fed167c 3fde307 3f965e3; 0 0 0
AVD CRC fedd7de 3fe9955 3f973de; 0 0 0
AVD CRC febd2a2 3fe18c2 3f9ab8c; 0 0 0
AVD CRC feaba21 3fd6c4f 3f9449f; 0 0 0
AVD CRC fe95d91 3fbec8d 3f93b92; 0 0 0
AVD CRC fe8e86a 3fc2504 3fa1e8d; 0 0 0
AVD CRC fe992a3 3fce2c0 3f9ea1d; 0 0 0
AVD CRC fe9c015 3fb8d55 3f9b10f; 0 0 0
AVD CRC fe8da0a 3fb803d 3f9d835; 0 0 0
AVD CRC fe84276 3fb759b 3f9794f; 0 0 0
AVD CRC fe75767 3fc442b 3f9e08a; 0 0 0
AVD CRC fe80134 3fbf2b3 3f97e19; 0 0 0
