SROM fields,,,,,BCM943431 P151,
Byte Offset,,Word Offset,,Description,Value,Explanation
Dec,Hex,Dec,Hex,,Hex,
308,134,154,9A,pa5glw1a3 [b0],0xFFFF,5G Band ant3: lowband PA parms
310,136,155,9B,pa5glw2a3 [b1],0xFFFF,5G Band ant3: lowband PA parms
312,138,156,9C,pa5ghw0a3 [a1],0xFFFF,5G Band ant3: highband PA parms
314,13A,157,9D,pa5ghw1a3 [b0],0xFFFF,5G Band ant3: highband PA parms
316,13C,158,9E,pa5ghw2a3 [b1],0xFFFF,5G Band ant3: highband PA parms
318,13E,159,9F,reserved,0xFFFF,
320,140,160,A0,cckbw202gpo,0x0000,"CCK Power offsets for 20 MHz rates (11, 5.5, 2, 1Mbps)"
322,142,161,A1,cckbw20ul2gpo,0x0000,"CCK Power offsets for 20 U/L rates (11, 5.5, 2, 1 Mbps)"
324,144,162,A2,legofdmbw202gpo,0x0000,"2G Band: OFDM power offsets for 20 MHz Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
326,146,163,A3,(legofdmbw202gpo),0x0000,
328,148,164,A4,legofdmbw20ul2gpo,0x0000,"2G Band: OFDM power offsets for 20 U/L Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
330,14A,165,A5,(legofdmbw20ul2gpo),0x0000,
332,14C,166,A6,legofdmbw205glpo,0x0000,"5G band low subband: OFDM power offsets for 20 MHz Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
334,14E,167,A7,(legofdmbw205glpo ),0x0000,
336,150,168,A8,legofdmbw20ul5glpo,0x0000,"5G band low subband: OFDM power offsets for 20 U/L Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
338,152,169,A9,(legofdmbw20ul5glpo),0x0000,
340,154,170,AA,legofdmbw205gmpo,0x0000,"5G band mid subband: OFDM power offsets for 20 MHz Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
342,156,171,AB,(legofdmbw205gmpo ),0x0000,
344,158,172,AC,legofdmbw20ul5gmpo,0x0000,"5G band mid subband: OFDM power offsets for 20 U/L Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
346,15A,173,AD,(legofdmbw20ul5gmpo ),0x0000,
