2534
6.8 1
0.61 0.69 1.0
0.67 0.75 1.0
0.79 0.84 1.0
0.97 0.97 1.0
1.0 0.96 0.92
1.0 0.82 0.63
1.0 0.8 0.44
5.95536 -0.346878 5.4 G5
2.54383 1.0011 5.4 M0
6.17593 0.316315 5.4 A0
1.7832 1.03865 5.4 ++
3.88958 -0.426539 5.4 K0
1.83035 -0.0986011 5.4 K5
4.07573 0.177607 5.4 K0
6.05192 0.14671 5.4 MB
2.79575 -1.02893 5.4 B3
1.93214 -0.553435 5.4 G5
0.633675 0.513952 5.4 F0
4.86944 -0.754524 5.4 MB
5.96988 -0.688047 5.4 K2
0.967896 0.421214 5.4 B5
3.22163 -0.231926 5.4 K0
5.61475 1.16223 5.4 B5
3.6932 0.86732 5.4 M0
3.8684 -0.24333 5.4 A2
4.76576 -0.362067 5.4 B0
5.24013 1.12889 5.4 M0
0.973081 0.102885 5.4 B3
0.977358 1.23428 5.4 A0
3.77047 0.33948 5.4 A5
3.69107 0.769543 5.4 M3
4.27812 0.59194 5.4 M0
1.87116 -0.0038038 5.4 F0
4.07278 0.683734 5.4 M0
5.85398 -1.01311 5.4 G5
3.37577 0.673425 5.4 A0
0.98936 -0.65928 5.4 A0
1.81296 -0.428725 5.4 F5
2.37077 0.0923847 5.4 K0
1.60493 1.14723 5.4 K0
3.0685 -0.792595 5.4 B8
0.9918 0.443839 5.4 A3
3.35761 -1.48095 5.4 K0
2.37516 -1.49167 5.4 F0
5.79429 -0.206152 5.4 B5
4.14911 -0.425611 5.4 B5
4.1493 -0.415923 5.4 B3
2.2221 -0.338723 5.4 A0
2.92866 0.0035389 5.4 A0
3.80932 -0.803344 5.4 K2
4.32368 -1.14131 5.4 K0
5.84845 -1.26536 5.4 G0
2.37803 0.521094 5.4 G5
1.37753 0.588129 5.4 A0
1.5396 0.352005 5.4 M7
0.0829476 -0.510646 5.4 G5
5.20923 0.197042 5.3 A2
0.6662 -1.38453 5.3 K0
2.58511 0.873659 5.3 A2
4.59887 -0.950667 5.3 A3
5.07577 0.343816 5.3 K0
5.23556 0.432786 5.3 F0
3.72169 -1.04165 5.3 M4
1.38606 -0.215818 5.3 B5
0.28508 -1.08284 5.3 K0
5.51244 -0.567979 5.3 K0
3.70837 -0.471706 5.3 K0
1.31679 1.02809 5.3 B3
5.36902 -0.779939 5.3 K0
2.32201 -0.82606 5.3 A5
1.20028 -0.0448899 5.3 A5
1.72752 -0.563673 5.3 G5
4.52155 0.190543 5.3 K5
5.23574 0.872049 5.3 K0
2.15771 -1.09539 5.3 A2
0.293406 1.19578 5.3 A0
3.87426 -0.275597 5.3 F5
1.19838 0.015682 5.3 B5
4.09906 0.227008 5.3 A0
1.92943 0.205409 5.3 A2
3.895 -0.587373 5.3 A0
1.87841 0.283537 5.3 M3
4.62587 -0.904251 5.3 G5
4.65475 0.447471 5.3 K0
4.601 1.08058 5.3 F8
1.12778 -0.36229 5.3 A0
4.18438 0.313378 5.3 G5
4.40921 -0.728243 5.3 B0
0.679609 -0.920816 5.3 A5
0.110993 0.307464 5.3 MB
3.4613 -0.343442 5.3 K0
4.09882 -0.650415 5.3 K0
0.933794 -0.307727 5.3 A0
1.55445 0.009598 5.3 A0
5.66869 -0.409977 5.3 K0
1.48553 -0.605475 5.3 B9
1.32364 -1.24587 5.3 K0
0.759719 -0.0682862 5.3 A2
1.06262 0.479387 5.3 A0
4.21417 0.299827 5.3 G5
1.2942 -1.30925 5.3 K0
0.283302 0.954273 5.3 G5
1.75902 0.761476 5.3 G0
5.03103 1.00563 5.3 K0
1.83636 0.19245 5.3 K2
4.29042 -1.11608 5.3 F0
2.14692 -0.817501 5.3 B3
2.99398 -0.739996 5.3 B9
2.26419 -1.22536 5.3 A0
0.364574 0.330089 5.3 F0
1.72499 0.697215 5.3 B8
5.65232 0.333231 5.3 F0
6.1088 -0.267279 5.3 A3
1.2189 0.755238 5.3 A0
1.04282 -0.0294677 5.3 B5
5.27053 -0.632307 5.3 K5
2.79523 0.811006 5.3 F0
4.44953 0.58712 5.3 A2
6.14716 0.680005 5.3 K0
2.56567 -0.794103 5.3 B8
4.38649 0.093113 5.3 A0
2.98041 -0.624624 5.3 K0
0.427188 -0.985202 5.3 G5
2.48396 0.173438 5.3 K0
1.58448 0.671765 5.3 A3
5.60723 0.848527 5.3 A3
0.5802 0.578184 5.3 A0
3.56734 0.928052 5.3 A2
0.872103 0.358918 5.3 K0
0.668592 1.26714 5.3 K0
5.39271 -1.05973 5.3 F8
2.42789 -0.887324 5.3 B9
2.08137 1.38964 5.3 A0
1.44708 0.0651757 5.3 A2
3.93598 -0.713378 5.3 K0
5.65931 0.035218 5.3 K0
1.79712 -0.0185522 5.3 A2
2.04839 -0.240229 5.3 G0
5.7062 0.297621 5.3 F2
3.21999 -0.382892 5.3 B8
1.94069 0.376103 5.3 F5
